,symbol,name,reportDate,fiscalDateEnding,estimate,currency
2104,ESEA,Euroseas Ltd,2022-05-23,2022-03-31,3.34,USD
2106,ESI,Element Solutions Inc,2022-04-26,2022-03-31,0.37,USD
2107,ESNT,Essent Group Ltd,2022-05-05,2022-03-31,1.45,USD
2111,ESQ,Esquire Financial Holdings Inc,2022-04-25,2022-03-31,0.65,USD
2113,ESS,Essex Property Trust Inc,2022-04-25,2022-03-31,1.22,USD
2114,ESSA,ESSA Bancorp Inc,2022-04-26,2022-03-31,0.44,USD
2117,ESTE,Earthstone Energy Inc - Class A,2022-03-08,2021-12-31,0.34,USD
2122,ET,Energy Transfer LP,2022-05-04,2022-03-31,0.32,USD
2123,ETD,Ethan Allen Interiors Inc,2022-04-27,2022-03-31,0.75,USD
2125,ETN,Eaton Corporation plc,2022-05-02,2022-03-31,1.6,USD
2128,ETON,Eton Pharmaceuticals Inc,2022-03-07,2021-12-31,0.19,USD
2129,ETR,Entergy Corp,2022-04-26,2022-03-31,1.44,USD
2137,ETWO,E2open Parent Holdings Inc - Class A,2022-05-16,2022-03-31,0.02,USD
2139,EVA,Enviva Inc,2022-02-28,2021-12-31,0.26,USD
2143,EVBN,Evans Bancorp Inc,2022-04-27,2022-03-31,0.81,USD
2144,EVC,Entravision Communications Corp - Class A,2022-03-09,2021-12-31,0.15,USD
2150,EVH,Evolent Health Inc - Class A,2022-05-03,2022-03-31,0.01,USD
2161,EVOP,EVO Payments Inc - Class A,2022-05-04,2022-03-31,0.17,USD
2162,EVR,Evercore Inc - Class A,2022-04-26,2022-03-31,3.2,USD
2164,EVRI,Everi Holdings Inc,2022-03-01,2021-12-31,0.36,USD
2168,EW,Edwards Lifesciences Corp,2022-04-18,2022-03-31,0.57,USD
2169,EWBC,East West Bancorp Inc,2022-04-20,2022-03-31,1.52,USD
2173,EXEL,Exelixis Inc,2022-05-04,2022-04-30,0.13,USD
2176,EXK,Endeavour Silver Corp,2022-03-10,2021-12-31,0.03,USD
2178,EXLS,Exlservice Hldgs Inc,2022-04-27,2022-03-31,1.23,USD
2181,EXP,Eagle Materials Inc,2022-05-17,2022-03-31,1.78,USD
2182,EXPD,Expeditors International Of Washington Inc,2022-05-03,2022-03-31,1.86,USD
2184,EXPI,eXp World Holdings Inc,2022-05-04,2022-03-31,0.06,USD
2185,EXPR,Express Inc,2022-03-08,2022-02-28,0.07,USD
2186,EXR,Extra Space Storage Inc,2022-04-26,2022-03-31,1.35,USD
2192,EXTR,Extreme Networks Inc,2022-04-26,2022-03-31,0.18,USD
2201,EZPW,EZCorp Inc - Class A,2022-05-03,2022-03-31,0.13,USD
2202,F,Ford Motor Company,2022-04-26,2022-03-31,0.41,USD
2203,FA,First Advantage Corp,2022-03-23,2021-12-31,0.21,USD
2204,FAF,First American Financial Corp,2022-04-28,2022-03-31,1.25,USD
2207,FANG,Diamondback Energy Inc,2022-05-02,2022-03-31,4.51,USD
2208,FANH,Fanhua Inc,2022-03-14,2021-12-31,0.31,USD
2211,FARO,Faro Technologies Inc,2022-04-26,2022-03-31,0.03,USD
2212,FAST,Fastenal Company,2022-04-13,2022-03-31,0.43,USD
2216,FB,Meta Platforms Inc - Class A,2022-04-26,2022-03-31,2.58,USD
2219,FBC,Flagstar Bancorp Inc,2022-04-25,2022-03-31,1.33,USD
2220,FBHS,Fortune Brands Home & Security Inc,2022-04-27,2022-03-31,1.25,USD
2221,FBIO,Fortress Biotech Inc,2022-03-29,2021-12-31,0.18,USD
2223,FBIZ,First Business Financial Services Inc,2022-04-27,2022-03-31,0.9,USD
2224,FBK,FB Financial Corp,2022-04-25,2022-03-31,0.72,USD
2225,FBMS,First Bancshares Inc Miss,2022-04-20,2022-03-31,0.71,USD
2226,FBNC,First Bancorp,2022-04-25,2022-03-31,0.91,USD
2228,FBP,First Bancorp PR,2022-04-25,2022-03-31,0.32,USD
2233,FC,Franklin Covey Company,2022-03-30,2022-02-28,0.06,USD
2237,FCBC,First Community Bankshares Inc,2022-05-16,2022-03-31,0.57,USD
2239,FCCO,First Community Corp,2022-04-19,2022-03-31,0.43,USD
2241,FCF,First Commonwealth Financial Corp,2022-04-25,2022-03-31,0.3,USD
2246,FCNCA,First Citizens Bancshares Inc (NC) - Class A,2022-04-26,2022-03-31,12.59,USD
2247,FCPT,Four Corners Property Trust Inc,2022-04-25,2022-03-31,0.28,USD
2248,FCRD,First Eagle Alternative Capital BDC Inc,2022-03-03,2021-12-31,0.1,USD
2250,FCX,Freeport-McMoRan Inc,2022-04-20,2022-03-31,0.87,USD
2256,FDS,Factset Research Systems Inc,2022-03-28,2022-02-28,2.96,USD
2259,FDX,Fedex Corp,2022-03-17,2022-02-28,4.71,USD
2260,FE,Firstenergy Corp,2022-04-20,2022-03-31,0.61,USD
2265,FELE,Franklin Electric Co. Inc,2022-04-25,2022-03-31,0.63,USD
2266,FENC,Fennec Pharmaceuticals Inc,2022-03-28,2021-12-31,0.75,USD
2275,FFBC,First Financial Bancorp,2022-04-20,2022-03-31,0.45,USD
2278,FFIC,Flushing Financial Corp,2022-04-26,2022-03-31,0.54,USD
2279,FFIN,First Financial Bankshares Inc,2022-04-20,2022-03-31,0.36,USD
2280,FFIV,F5 Inc,2022-04-25,2022-03-31,2.02,USD
2286,FFNW,First Financial Northwest Inc,2022-04-25,2022-03-31,0.27,USD
2288,FFWM,First Foundation Inc,2022-04-25,2022-03-31,0.5,USD
2289,FFXDF,FFXDF,2022-04-27,2022-03-31,0.17,USD
2292,FGBI,First Guaranty Bancshares Inc,2022-04-25,2022-03-31,0.59,USD
2298,FHB,First Hawaiian Inc,2022-04-21,2022-03-31,0.42,USD
2299,FHI,Federated Hermes Inc - Class B,2022-04-27,2022-03-31,0.69,USD
2300,FHN,First Horizon Corporation,2022-04-20,2022-03-31,0.35,USD
2303,FICO,Fair Isaac Corp,2022-05-03,2022-03-31,3.78,USD
2307,FIS,Fidelity National Information Services Inc,2022-05-04,2022-03-31,1.46,USD
2308,FISI,Financial Institutions Inc,2022-04-26,2022-03-31,0.78,USD
2309,FISV,Fiserv Inc,2022-04-25,2022-03-31,1.37,USD
2310,FITB,Fifth Third Bancorp,2022-04-19,2022-03-31,0.7,USD
2311,FIVE,Five Below Inc,2022-03-15,2022-01-31,2.48,USD
2312,FIVN,Five9 Inc,2022-04-27,2022-03-31,0.13,USD
2313,FIX,Comfort Systems USA Inc,2022-04-26,2022-03-31,0.82,USD
2316,FIZZ,National Beverage Corp,2022-03-10,2022-02-28,0.35,USD
2322,FLEX,Flex Ltd,2022-05-03,2022-03-31,0.45,USD
2325,FLGT,Fulgent Genetics Inc,2022-05-04,2022-03-31,3.03,USD
2326,FLIC,First Of Long Island Corp,2022-04-27,2022-03-31,0.46,USD
2327,FLL,Full House Resorts Inc,2022-03-07,2021-12-31,0.08,USD
2331,FLMN,Falcon Minerals Corp - Class A,2022-03-01,2021-12-31,0.07,USD
2333,FLNT,Fluent Inc,2022-03-14,2021-12-31,0.03,USD
2335,FLO,Flowers Foods Inc,2022-05-18,2022-03-31,0.39,USD
2336,FLOW,SPX FLOW Inc,2022-05-03,2022-03-31,0.75,USD
2337,FLR,Fluor Corporation,2022-05-05,2022-03-31,0.22,USD
2338,FLS,Flowserve Corp,2022-05-02,2022-03-31,0.31,USD
2339,FLT,Fleetcor Technologies Inc,2022-05-03,2022-03-31,3.5,USD
2349,FMAO,Farmers & Merchants Bancorp Inc,2022-04-19,2022-03-31,0.57,USD
2350,FMBH,First Mid Bancshares Inc,2022-04-26,2022-03-31,0.84,USD
2351,FMBI,First Midwest Bancorp Inc,2022-04-18,2022-03-31,0.36,USD
2354,FMC,FMC Corp,2022-05-03,2022-03-31,1.72,USD
2357,FMNB,Farmers National Banc Corp,2022-04-26,2022-03-31,0.46,USD
2360,FN,Fabrinet,2022-05-02,2022-03-31,1.52,USD
2361,FNB,F.N.B. Corp,2022-04-18,2022-03-31,0.23,USD
2364,FNF,Fidelity National Financial Inc,2022-05-04,2022-03-31,1.2,USD
2367,FNKO,Funko Inc - Class A,2022-03-09,2021-12-31,0.24,USD
2374,FNV,Franco-Nevada Corporation,2022-03-09,2021-12-31,0.88,USD
2376,FNWB,First Northwest Bancorp,2022-04-26,2022-03-31,0.37,USD
2377,FNWD,Finward Bancorp,2022-04-26,2022-03-31,1.1,USD
2378,FOCS,Focus Financial Partners Inc - Class A,2022-05-04,2022-03-31,1.1,USD
2383,FOR,Forestar Group Inc New,2022-04-18,2022-03-31,0.7,USD
2385,FORM,FormFactor Inc,2022-04-26,2022-03-31,0.4,USD
2386,FORR,Forrester Research Inc,2022-05-03,2022-03-31,0.31,USD
2389,FOUR,Shift4 Payments Inc - Class A,2022-03-01,2021-12-31,0.18,USD
2391,FOXA,Fox Corporation - Class A,2022-05-03,2022-03-31,0.89,USD
2393,FPAY,FlexShopper Inc,2022-03-07,2021-12-31,0.01,USD
2397,FPI,Farmland Partners Inc,2022-05-11,2022-03-31,0.01,USD
2399,FQVLF,FQVLF,2022-04-25,2022-03-31,0.5,USD
2400,FR,First Industrial Realty Trust Inc,2022-04-19,2022-03-31,0.26,USD
2402,FRBA,First Bank (NJ),2022-04-25,2022-03-31,0.41,USD
2403,FRBK,Republic First Bancorp Inc,2022-04-20,2022-03-31,0.08,USD
2404,FRC,First Republic Bank,2022-04-12,2022-03-31,1.89,USD
2405,FREE,Whole Earth Brands Inc - Class A,2022-03-14,2021-12-31,0.2,USD
2407,FREQ,Frequency Therapeutics Inc,2022-03-28,2021-12-31,0.15,USD
2410,FRG,Franchise Group Inc - Class A,2022-05-04,2022-04-30,1.16,USD
2416,FRME,First Merchants Corp,2022-04-20,2022-03-31,0.84,USD
2427,FRST,Primis Financial Corp,2022-04-27,2022-03-31,0.23,USD
2428,FRT,Federal Realty Investment Trust.,2022-05-03,2022-03-31,0.44,USD
2430,FSFG,First Savings Financial Group Inc,2022-04-25,2022-03-31,0.53,USD
2431,FSI,Flexible Solutions International Inc,2022-03-31,2021-12-31,0.08,USD
2433,FSK,FS KKR Capital Corp,2022-02-28,2021-12-31,0.61,USD
2437,FSLR,First Solar Inc,2022-03-01,2021-12-31,1.06,USD
2440,FSM,Fortuna Silver Mines Inc,2022-03-08,2021-12-31,0.14,USD
2444,FSS,Federal Signal Corp,2022-03-01,2021-12-31,0.38,USD
2446,FSTR,L.B. Foster Co. - Class A,2022-02-28,2021-12-31,0.19,USD
2450,FSV,FirstService Corp,2022-04-25,2022-03-31,0.73,USD
2460,FTI,TechnipFMC plc,2022-04-25,2022-03-31,0.02,USD
2468,FTNT,Fortinet Inc,2022-04-27,2022-03-31,0.79,USD
2470,FTS,Fortis Inc,2022-05-04,2022-03-31,0.63,CAD
2471,FTSI,FTS International Inc Class A,2022-03-02,2021-12-31,0.11,USD
2474,FTV,Fortive Corp,2022-04-27,2022-03-31,0.69,USD
2476,FUL,H.B. Fuller Company,2022-03-22,2022-02-28,0.73,USD
2479,FULT,Fulton Financial Corp,2022-04-18,2022-03-31,0.32,USD
2481,FUNC,First United Corporation,2022-05-02,2022-03-31,0.79,USD
2489,FVCB,FVCBankcorp Inc,2022-04-20,2022-03-31,0.4,USD
2491,FVRR,Fiverr International Ltd,2022-05-04,2022-03-31,0.05,USD
2494,FWRD,Forward Air Corp,2022-04-27,2022-03-31,1.15,USD
2497,G,Genpact Ltd,2022-05-09,2022-03-31,0.53,USD
2498,GABC,German American Bancorp Inc,2022-04-25,2022-03-31,0.72,USD
2499,GAIA,Gaia Inc - Class A,2022-02-28,2021-12-31,0.03,USD
2501,GAIN,Gladstone Investment Corporation,2022-05-09,2022-03-31,0.23,USD
2510,GATO,Gatos Silver Inc,2022-03-09,2021-12-31,0.13,USD
2512,GATX,GATX Corp,2022-04-18,2022-03-31,1.39,USD
2515,GBCI,Glacier Bancorp Inc,2022-04-20,2022-03-31,0.61,USD
2531,GBX,Greenbrier Cos. Inc,2022-04-04,2022-02-28,0.19,USD
2537,GCO,Genesco Inc,2022-03-09,2022-02-28,2.61,USD
2538,GCP,GCP Applied Technologies Inc,2022-03-02,2021-12-31,0.18,USD
2540,GD,General Dynamics Corp,2022-04-26,2022-03-31,2.5,USD
2542,GDDY,Godaddy Inc - Class A,2022-05-03,2022-03-31,0.39,USD
2543,GDEN,Golden Entertainment Inc,2022-05-04,2022-03-31,0.5,USD
2549,GDP,GDP,2022-03-09,2021-12-31,1.57,USD
2551,GDRX,GoodRx Holdings Inc - Class A,2022-02-28,2021-12-31,0.1,USD
2556,GDYN,Grid Dynamics Holdings Inc - Class A,2022-03-03,2021-12-31,0.08,USD
2558,GE,General Electric Company,2022-04-25,2022-03-31,0.36,USD
2559,GECC,Great Elm Capital Corp,2022-03-14,2021-12-31,0.09,USD
2561,GEF,Greif Inc - Class A,2022-03-02,2022-01-31,1.19,USD
2563,GENC,Gencor Industries Inc,2022-05-12,2022-03-31,0.77,USD
2566,GEO,Geo Group Inc,2022-05-09,2022-03-31,0.23,USD
2570,GES,Guess Inc,2022-03-29,2022-02-28,1.14,USD
2572,GFED,Guaranty Federal Bancshares Inc,2022-04-20,2022-03-31,0.49,USD
2573,GFF,Griffon Corp,2022-04-27,2022-03-31,0.33,USD
2574,GFL,GFL Environmental Inc (Sub Voting),2022-05-03,2022-03-31,0.08,CAD
2578,GGG,Graco Inc,2022-04-19,2022-03-31,0.62,USD
2583,GHL,Greenhill & Co Inc,2022-04-27,2022-03-31,0.27,USD
2584,GHLD,Guild Holdings Co - Class A,2022-03-21,2021-12-31,0.61,USD
2588,GIB,CGI Inc - Class A,2022-04-27,2022-03-31,1.18,CAD
2589,GIC,Global Industrial Company,2022-05-02,2022-03-31,0.36,USD
2594,GIII,G-III Apparel Group Ltd,2022-03-16,2022-01-31,0.65,USD
2596,GILD,Gilead Sciences Inc,2022-04-27,2022-03-31,1.8,USD
2597,GILT,Gilat Satellite Networks,2022-05-02,2022-03-31,0.03,USD
2598,GIS,General Mills Inc,2022-03-22,2022-02-28,0.79,USD
2600,GL,Globe Life Inc,2022-04-19,2022-03-31,1.81,USD
2601,GLAD,Gladstone Capital Corp,2022-05-02,2022-03-31,0.2,USD
2604,GLDD,Great Lakes Dredge & Dock Corporation,2022-05-02,2022-03-31,0.17,USD
2610,GLOB,Globant S.A.,2022-05-11,2022-03-31,1.16,USD
2612,GLOP,Gaslog Partners LP,2022-05-04,2022-03-31,0.4,USD
2613,GLP,Global Partners LP,2022-02-28,2021-12-31,0.23,USD
2616,GLRE,Greenlight Capital Re Ltd - Class A,2022-03-08,2021-12-31,0.9,USD
2622,GLW,Corning Inc,2022-04-25,2022-03-31,0.5,USD
2626,GM,General Motors Company,2022-04-26,2022-03-31,1.73,USD
2630,GME,Gamestop Corporation - Class A,2022-03-21,2022-01-31,0.84,USD
2631,GMED,Globus Medical Inc - Class A,2022-05-02,2022-03-31,0.47,USD
2635,GMRE,Global Medical REIT Inc,2022-02-28,2021-12-31,0.07,USD
2637,GMS,GMS Inc,2022-03-02,2022-01-31,1.74,USD
2643,GNK,Genco Shipping & Trading Ltd,2022-04-11,2022-03-31,0.75,USD
2644,GNL,Global Net Lease Inc,2022-05-04,2022-03-31,0.02,USD
2651,GNRC,Generac Holdings Inc,2022-04-27,2022-03-31,1.98,USD
2653,GNTX,Gentex Corp,2022-04-21,2022-03-31,0.34,USD
2654,GNTY,Guaranty Bancshares Inc (TX),2022-04-18,2022-03-31,0.7,USD
2655,GNW,Genworth Financial Inc - Class A,2022-04-27,2022-03-31,0.25,USD
2656,GO,Grocery Outlet Holding Corp,2022-03-01,2021-12-31,0.2,USD
2658,GOCO,GoHealth Inc - Class A,2022-03-07,2021-12-31,0.74,USD
2660,GOED,1847 Goedeker Inc,2022-03-28,2021-12-31,0.05,USD
2664,GOGO,Gogo Inc,2022-03-09,2021-12-31,0.08,USD
2669,GOOD,Gladstone Commercial Corp,2022-05-09,2022-03-31,0.01,USD
2670,GOOGL,Alphabet Inc - Class A,2022-04-25,2022-03-31,25.85,USD
2671,GOOS,Canada Goose Holdings Inc (Subord Vot Shs),2022-05-11,2022-03-31,0.17,USD
2678,GPC,Genuine Parts Company,2022-04-20,2022-03-31,1.68,USD
2679,GPI,Group 1 Automotive Inc,2022-04-27,2022-03-31,9.19,USD
2680,GPK,Graphic Packaging Holding Company,2022-04-26,2022-03-31,0.38,USD
2684,GPN,Global Payments Inc,2022-05-02,2022-03-31,2.07,USD
2691,GPRK,Geopark Ltd,2022-03-09,2021-12-31,0.5,USD
2693,GPRO,GoPro Inc - Class A,2022-05-04,2022-03-31,0.06,USD
2702,GRBK,Green Brick Partners Inc,2022-03-01,2021-12-31,1.16,USD
2704,GRC,Gorman-Rupp Company,2022-04-28,2022-03-31,0.34,USD
2708,GRMN,Garmin Ltd,2022-04-26,2022-03-31,1.06,USD
2712,GRPN,Groupon Inc,2022-02-28,2021-12-31,0.19,USD
2725,GS,Goldman Sachs Group Inc,2022-04-12,2022-03-31,10.45,USD
2728,GSHD,Goosehead Insurance Inc - Class A,2022-04-27,2022-03-31,0.02,USD
2730,GSKY,GreenSky Inc - Class A,2022-03-08,2021-12-31,0.07,USD
2732,GSL,Global Ship Lease Inc - Class A,2022-03-02,2021-12-31,1.29,USD
2734,GSM,Ferroglobe Plc,2022-02-28,2021-12-31,0.31,USD
2739,GT,Goodyear Tire & Rubber Company,2022-04-28,2022-03-31,0.38,USD
2740,GTBIF,GTBIF,2022-03-01,2021-12-31,0.08,USD
2743,GTE,Gran Tierra Energy Inc,2022-05-02,2022-03-31,0.08,USD
2744,GTEC,Greenland Technologies Holding Corp,2022-03-28,2021-12-31,0.11,USD
2746,GTES,Gates Industrial Corporation plc,2022-05-09,2022-03-31,0.23,USD
2755,GTY,Getty Realty Corp,2022-04-26,2022-03-31,0.29,USD
2758,GVA,Granite Construction Inc,2022-03-28,2021-12-31,0.36,USD
2762,GWB,Great Western Bancorp Inc,2022-04-27,2022-03-31,0.66,USD
2763,GWLIF,GWLIF,2022-05-04,2022-03-31,0.65,CAD
2765,GWRS,Global Water Resources Inc,2022-03-01,2021-12-31,0.01,USD
2767,GWW,W.W. Grainger Inc,2022-04-28,2022-03-31,6.06,USD
2770,HAE,Haemonetics Corp,2022-05-11,2022-03-31,0.59,USD
2771,HAFC,Hanmi Financial Corp,2022-04-25,2022-03-31,0.58,USD
2772,HAIN,Hain Celestial Group Inc,2022-05-04,2022-03-31,0.46,USD
2774,HAL,Halliburton Company,2022-04-19,2022-03-31,0.34,USD
2777,HALO,Halozyme Therapeutics Inc,2022-05-09,2022-03-31,0.48,USD
2780,HAS,Hasbro Inc,2022-04-25,2022-03-31,0.64,USD
2781,HASI,Hannon Armstrong Sustainable Infrastructure capital Inc,2022-05-02,2022-03-31,0.46,USD
2782,HAYN,Haynes International Inc,2022-04-27,2022-03-31,0.49,USD
2783,HAYW,Hayward Holdings Inc,2022-03-02,2021-12-31,0.3,USD
2784,HBAN,Huntington Bancshares Inc,2022-04-20,2022-03-31,0.3,USD
2785,HBB,Hamilton Beach Brands Holding Co - Class A,2022-03-14,2021-12-31,1.08,USD
2787,HBCP,Home Bancorp Inc,2022-04-25,2022-03-31,0.74,USD
2788,HBI,Hanesbrands Inc,2022-05-09,2022-03-31,0.29,USD
2789,HBIO,Harvard Bioscience Inc,2022-03-08,2021-12-31,0.1,USD
2791,HBM,Hudbay Minerals Inc,2022-05-09,2022-03-31,0.29,USD
2793,HBNC,Horizon Bancorp Inc (IN),2022-04-26,2022-03-31,0.48,USD
2797,HBT,HBT Financial Inc,2022-04-25,2022-03-31,0.4,USD
2798,HCA,HCA Healthcare Inc,2022-04-20,2022-03-31,4.35,USD
2806,HCC,Warrior Met Coal Inc,2022-05-03,2022-03-31,2.69,USD
2807,HCCI,Heritage-Crystal Clean Inc,2022-02-28,2022-01-31,0.68,USD
2813,HCKT,Hackett Group Inc (The),2022-05-09,2022-03-31,0.32,USD
2816,HCSG,Healthcare Services Group Inc,2022-04-19,2022-03-31,0.07,USD
2818,HD,Home Depot Inc,2022-05-16,2022-04-30,3.62,USD
2823,HE,Hawaiian Electric Industries Inc,2022-05-05,2022-03-31,0.46,USD
2824,HEAR,Turtle Beach Corp,2022-03-02,2021-12-31,0.22,USD
2826,HEES,H&E Equipment Services Inc,2022-04-25,2022-03-31,0.3,USD
2827,HEI,Heico Corp,2022-05-23,2022-04-30,0.64,USD
2828,HELE,Helen of Troy Ltd,2022-04-26,2022-02-28,1.98,USD
2830,HEP,Holly Energy Partners L.P.,2022-05-02,2022-03-31,0.46,USD
2833,HES,Hess Corporation,2022-04-26,2022-03-31,0.64,USD
2838,HFC,HollyFrontier Corp,2022-05-03,2022-03-31,0.56,USD
2841,HFWA,Heritage Financial Corp,2022-04-20,2022-03-31,0.37,USD
2842,HGBL,Heritage Global Inc,2022-03-07,2021-12-31,0.05,USD
2848,HGV,Hilton Grand Vacations Inc,2022-03-01,2021-12-31,0.88,USD
2850,HHC,Howard Hughes Corporation,2022-02-28,2021-12-31,1.63,USD
2852,HHR,HeadHunter Group PLC,2022-03-16,2021-12-31,0.41,USD
2855,HI,Hillenbrand Inc,2022-05-02,2022-03-31,1.01,USD
2856,HIBB,Hibbett Inc,2022-03-03,2022-02-28,1.35,USD
2858,HIG,Hartford Financial Services Group Inc,2022-04-20,2022-03-31,1.52,USD
2859,HII,Huntington Ingalls Industries Inc,2022-05-04,2022-03-31,3.26,USD
2863,HIMX,Himax Technologies,2022-05-04,2022-03-31,0.68,USD
2865,HIW,Highwoods Properties Inc,2022-04-26,2022-03-31,0.34,USD
2866,HL,Hecla Mining Company,2022-05-04,2022-03-31,0.05,USD
2867,HLF,Herbalife Nutrition Ltd,2022-05-02,2022-03-31,1.03,USD
2869,HLI,Houlihan Lokey Inc - Class A,2022-05-09,2022-03-31,1.93,USD
2870,HLIO,Helios Technologies Inc,2022-02-28,2021-12-31,0.83,USD
2872,HLIT,Harmonic Inc,2022-05-02,2022-03-31,0.04,USD
2874,HLNE,Hamilton Lane Inc - Class A,2022-05-25,2022-03-31,0.8,USD
2876,HLT,Hilton Worldwide Holdings Inc,2022-05-03,2022-03-31,0.62,USD
2886,HMLP,Hoegh LNG Partners LP,2022-05-25,2022-03-31,0.35,USD
2888,HMN,Horace Mann Educators Corp,2022-05-02,2022-03-31,1.0,USD
2891,HMST,HomeStreet Inc,2022-04-25,2022-03-31,0.96,USD
2894,HNGR,Hanger Inc,2022-02-28,2021-12-31,0.44,USD
2896,HNI,HNI Corp,2022-02-28,2021-12-31,0.41,USD
2901,HOFT,Hooker Furnishings Corporation,2022-04-12,2022-01-31,0.1,USD
2904,HOG,Harley-Davidson Inc,2022-04-18,2022-03-31,1.48,USD
2906,HOLX,Hologic Inc,2022-04-26,2022-03-31,1.57,USD
2908,HON,Honeywell International Inc,2022-04-21,2022-03-31,1.87,USD
2911,HOPE,Hope Bancorp Inc,2022-04-25,2022-03-31,0.39,USD
2914,HPE,Hewlett Packard Enterprise Company,2022-03-01,2022-01-31,0.46,USD
2915,HPK,HighPeak Energy Inc,2022-03-14,2021-12-31,0.38,USD
2919,HPP,Hudson Pacific Properties Inc,2022-05-03,2022-03-31,0.01,USD
2920,HPQ,HP Inc,2022-02-28,2022-01-31,1.02,USD
2922,HQI,HireQuest Inc,2022-03-23,2021-12-31,0.14,USD
2924,HQY,Healthequity Inc,2022-03-14,2022-01-31,0.22,USD
2925,HR,Healthcare Realty Trust Inc,2022-05-03,2022-03-31,0.08,USD
2927,HRI,Herc Holdings Inc,2022-04-20,2022-03-31,1.98,USD
2928,HRL,Hormel Foods Corp,2022-03-01,2022-01-31,0.44,USD
2930,HRMY,Harmony Biosciences Holdings Inc,2022-02-28,2021-12-31,0.38,USD
2937,HRTG,Heritage Insurance Holdings Inc,2022-03-07,2021-12-31,0.14,USD
2939,HRTH,HRTH,2022-03-16,2021-12-31,0.18,USD
2945,HRZN,Horizon Technology Finance Corp,2022-03-01,2021-12-31,0.35,USD
2948,HSC,Harsco Corp,2022-05-02,2022-03-31,0.12,USD
2951,HSIC,Henry Schein Inc,2022-05-02,2022-03-31,1.19,USD
2952,HSII,Heidrick & Struggles International Inc,2022-02-28,2021-12-31,0.79,USD
2956,HSON,Hudson Global Inc,2022-03-09,2021-12-31,0.46,USD
2958,HST,Host Hotels & Resorts Inc,2022-05-02,2022-04-30,0.01,USD
2959,HSTM,Healthstream Inc,2022-04-25,2022-03-31,0.03,USD
2962,HSY,Hershey Company,2022-04-27,2022-03-31,2.09,USD
2965,HTBI,HomeTrust Bancshares Inc,2022-04-26,2022-03-31,0.52,USD
2966,HTBK,Heritage Commerce Corp,2022-04-20,2022-03-31,0.2,USD
2967,HTGC,Hercules Capital Inc,2022-04-27,2022-03-31,0.31,USD
2970,HTH,Hilltop Holdings Inc,2022-04-20,2022-03-31,0.52,USD
2971,HTHT,Huazhu Group Ltd,2022-03-22,2021-12-31,0.1,USD
2973,HTLD,Heartland Express Inc,2022-04-19,2022-03-31,0.22,USD
2974,HTLF,Heartland Financial USA Inc,2022-04-25,2022-03-31,1.04,USD
2978,HTZ,Hertz Global Holdings Inc (New),2022-05-05,2022-03-31,0.53,USD
2982,HUBB,Hubbell Inc,2022-04-25,2022-03-31,1.84,USD
2983,HUBG,Hub Group Inc - Class A,2022-05-03,2022-03-31,1.44,USD
2984,HUBS,HubSpot Inc,2022-05-03,2022-03-31,0.47,USD
2988,HUM,Humana Inc,2022-04-27,2022-03-31,6.77,USD
2989,HUN,Huntsman Corp,2022-04-28,2022-03-31,0.97,USD
2991,HURN,Huron Consulting Group Inc,2022-05-02,2022-03-31,0.51,USD
2999,HVT,Haverty Furniture Cos. Inc,2022-04-25,2022-03-31,0.89,USD
3001,HWC,Hancock Whitney Corp,2022-04-18,2022-03-31,1.31,USD
3004,HWKN,Hawkins Inc,2022-05-18,2022-03-31,0.41,USD
3005,HWM,Howmet Aerospace Inc,2022-05-04,2022-03-31,0.29,USD
3007,HXL,Hexcel Corp,2022-04-18,2022-03-31,0.18,USD
3009,HYFM,Hydrofarm Holdings Group Inc,2022-03-28,2021-12-31,0.03,USD
3020,HZNP,Horizon Therapeutics Plc,2022-03-01,2021-12-31,1.34,USD
3021,HZO,Marinemax Inc,2022-04-20,2022-03-31,1.78,USD
3022,IAA,IAA Inc,2022-05-02,2022-03-31,0.57,USD
3027,IART,Integra Lifesciences Holdings Corp,2022-04-26,2022-03-31,0.69,USD
3029,IBCP,Independent Bank Corporation (Ionia MI),2022-04-25,2022-03-31,0.5,USD
3030,IBEX,IBEX Ltd,2022-05-16,2022-03-31,0.4,USD
3034,IBKR,Interactive Brokers Group Inc - Class A,2022-04-18,2022-03-31,0.83,USD
3035,IBM,International Business Machines Corp,2022-04-19,2022-03-31,1.38,USD
3037,IBP,Installed Building Products Inc,2022-05-05,2022-03-31,1.19,USD
3038,IBTX,Independent Bank Group Inc,2022-04-25,2022-03-31,1.14,USD
3046,ICE,Intercontinental Exchange Inc,2022-05-05,2022-03-31,1.39,USD
3048,ICHR,Ichor Holdings Ltd,2022-05-02,2022-03-31,0.9,USD
3049,ICLK,iClick Interactive Asia Group Ltd,2022-03-23,2021-12-31,0.01,USD
3051,ICLR,Icon Plc,2022-04-26,2022-03-31,2.73,USD
3053,ICMB,Investcorp Credit Management BDC Inc,2022-05-09,2022-03-31,0.16,USD
3059,ICUI,ICU Medical Inc,2022-05-04,2022-03-31,1.68,USD
3062,IDA,Idacorp Inc,2022-04-27,2022-03-31,0.94,USD
3063,IDCC,Interdigital Inc,2022-05-04,2022-03-31,0.52,USD
3072,IDW,IDW Media Holdings Inc - Class B,2022-03-14,2022-01-31,0.05,USD
3075,IDXX,Idexx Laboratories Inc,2022-05-04,2022-03-31,2.26,USD
