,symbol,name,reportDate,fiscalDateEnding,estimate,currency
693,BANX,ArrowMark Financial Corp,2022-02-28,2021-12-31,0.45,USD
695,BAP,Credicorp Ltd,2022-05-05,2022-03-31,3.8,PEN
702,BAX,Baxter International Inc,2022-04-27,2022-03-31,0.81,USD
704,BBBY,Bed Bath & Beyond Inc,2022-04-12,2022-02-28,0.05,USD
705,BBDC,Barings BDC Inc,2022-05-04,2022-03-31,0.23,USD
710,BBQ,BBQ Holdings Inc,2022-03-31,2021-12-31,0.14,USD
713,BBSI,Barrett Business Services Inc,2022-03-02,2021-12-31,0.99,USD
717,BBW,Build A Bear Workshop Inc,2022-03-08,2022-02-28,0.92,USD
719,BBWI,Bath & Body Works Inc,2022-05-17,2022-04-30,0.54,USD
722,BBY,Best Buy Co. Inc,2022-03-03,2022-02-28,2.78,USD
723,BC,Brunswick Corp,2022-04-27,2022-03-31,2.33,USD
726,BCBP,BCB Bancorp Inc (NJ),2022-04-19,2022-03-31,0.5,USD
727,BCC,Boise Cascade Company,2022-05-04,2022-03-31,3.64,USD
730,BCE,BCE Inc,2022-04-27,2022-03-31,0.63,CAD
736,BCML,BayCom Corp,2022-04-20,2022-03-31,0.45,USD
737,BCO,Brink`s Company,2022-04-26,2022-03-31,1.23,USD
738,BCOR,Blucora Inc,2022-05-03,2022-03-31,1.27,USD
739,BCOV,Brightcove Inc,2022-04-26,2022-03-31,0.03,USD
741,BCPC,Balchem Corp,2022-04-28,2022-03-31,0.96,USD
747,BDC,Belden Inc,2022-05-03,2022-03-31,1.08,USD
752,BDSI,Biodelivery Sciences International,2022-03-08,2021-12-31,0.02,USD
758,BDX,Becton Dickinson And Company,2022-05-04,2022-03-31,3.0,USD
762,BECN,Beacon Roofing Supply Inc - Class A,2022-05-02,2022-03-31,0.5,USD
769,BEN,Franklin Resources Inc,2022-05-02,2022-03-31,0.86,USD
771,BERY,Berry Global Group Inc,2022-05-02,2022-03-31,1.81,USD
773,BEVFF,BEVFF,2022-03-09,2021-12-31,0.03,CAD
775,BFAM,Bright Horizons Family Solutions Inc,2022-05-03,2022-03-31,0.41,USD
776,BFC,Bank First Corp,2022-04-18,2022-03-31,1.39,USD
779,BFIN,Bankfinancial Corp,2022-04-18,2022-03-31,0.1,USD
784,BFST,Business First Bancshares Inc,2022-04-20,2022-03-31,0.51,USD
785,BG,Bunge Ltd,2022-05-02,2022-03-31,2.63,USD
786,BGCP,BGC Partners Inc - Class A,2022-04-27,2022-03-31,0.21,USD
787,BGFV,Big 5 Sporting Goods Corp,2022-03-07,2021-12-31,0.85,USD
790,BGS,B&G Foods Inc,2022-03-01,2021-12-31,0.43,USD
792,BGSF,BGSF Inc,2022-03-09,2021-12-31,0.3,USD
797,BHC,Bausch Health Companies Inc,2022-05-02,2022-03-31,1.0,USD
798,BHE,Benchmark Electronics Inc,2022-04-26,2022-03-31,0.34,USD
799,BHF,Brighthouse Financial Inc,2022-05-09,2022-03-31,3.37,USD
801,BHLB,Berkshire Hills Bancorp Inc,2022-04-26,2022-03-31,0.4,USD
807,BIDU,Baidu Inc,2022-03-01,2021-12-31,1.38,CNY
810,BIG,Big Lots Inc,2022-03-03,2022-01-31,1.9,USD
815,BIIB,Biogen Inc,2022-04-20,2022-03-31,4.37,USD
820,BIO,Bio-Rad Laboratories Inc - Class A,2022-04-27,2022-03-31,3.54,USD
829,BIP,Brookfield Infrastructure Partners L.P,2022-05-04,2022-03-31,0.23,USD
837,BJ,BJ`s Wholesale Club Holdings Inc,2022-03-02,2022-01-31,0.73,USD
839,BK,Bank Of New York Mellon Corp,2022-04-14,2022-03-31,0.96,USD
842,BKCC,BlackRock Capital Investment Corp,2022-03-02,2021-12-31,0.09,USD
845,BKE,Buckle Inc,2022-03-10,2022-02-28,1.44,USD
848,BKH,Black Hills Corporation,2022-05-02,2022-03-31,1.68,USD
849,BKI,Black Knight Inc - Class A,2022-05-04,2022-03-31,0.6,USD
852,BKNG,Booking Holdings Inc,2022-05-03,2022-03-31,7.02,USD
853,BKR,Baker Hughes Co - Class A,2022-04-19,2022-03-31,0.2,USD
857,BKU,BankUnited Inc,2022-04-20,2022-03-31,0.83,USD
866,BLD,TopBuild Corp,2022-05-04,2022-03-31,2.76,USD
870,BLDR,Builders Firstsource Inc,2022-03-01,2021-12-31,1.91,USD
876,BLK,Blackrock Inc,2022-04-13,2022-03-31,9.31,USD
877,BLKB,Blackbaud Inc,2022-04-26,2022-03-31,0.65,USD
879,BLL,Ball Corp,2022-05-04,2022-03-31,0.84,USD
880,BLMN,Bloomin Brands Inc,2022-04-27,2022-03-31,0.73,USD
887,BLX,Banco Latinoamericano De Comercio Exterior SA - Class E,2022-05-03,2022-03-31,0.44,USD
890,BMI,Badger Meter Inc,2022-04-18,2022-03-31,0.51,USD
893,BMO,Bank of Montreal,2022-03-01,2022-01-31,2.56,CAD
898,BMRC,Bank of Marin Bancorp,2022-04-18,2022-03-31,0.65,USD
899,BMRN,Biomarin Pharmaceutical Inc,2022-04-27,2022-03-31,0.19,USD
901,BMTX,BM Technologies Inc - Class A,2022-03-15,2021-12-31,0.12,USD
903,BMY,Bristol-Myers Squibb Company,2022-04-27,2022-03-31,1.96,USD
908,BNEFF,BNEFF,2022-03-09,2021-12-31,0.25,CAD
910,BNFT,Benefitfocus Inc,2022-03-01,2021-12-31,0.07,USD
917,BNS,Bank Of Nova Scotia,2022-03-01,2022-01-31,1.6,CAD
918,BNTX,BioNTech SE,2022-03-30,2021-12-31,8.41,EUR
922,BOH,Bank of Hawaii Corp,2022-04-25,2022-03-31,1.21,USD
923,BOKF,BOK Financial Corp,2022-04-19,2022-03-31,1.58,USD
925,BOMN,BOMN,2022-03-28,2021-12-31,0.09,USD
928,BOOT,Boot Barn Holdings Inc,2022-05-10,2022-03-31,1.26,USD
932,BOX,Box Inc - Class A,2022-03-02,2022-01-31,0.23,USD
936,BPOP,Popular Inc,2022-04-26,2022-03-31,2.35,USD
937,BPRN,Bank of Princeton,2022-04-20,2022-03-31,0.8,USD
944,BR,Broadridge Financial Solutions Inc,2022-05-02,2022-03-31,1.87,USD
949,BRBR,BRBR,2022-05-04,2022-03-31,0.18,USD
952,BRC,Brady Corp - Class A,2022-05-18,2022-04-30,0.81,USD
953,BRDG,Bridge Investment Group Holdings Inc - Class A,2022-03-03,2021-12-31,0.25,USD
961,BRKL,Brookline Bancorp Inc,2022-04-26,2022-03-31,0.31,USD
962,BRKR,Bruker Corp,2022-05-03,2022-03-31,0.42,USD
967,BRMK,Broadmark Realty Capital Inc,2022-02-28,2021-12-31,0.21,USD
968,BRO,Brown & Brown Inc,2022-04-25,2022-03-31,0.74,USD
969,BRP,BRP Group Inc - Class A,2022-03-01,2021-12-31,0.09,USD
972,BRSP,BrightSpire Capital Inc - Class A,2022-05-03,2022-03-31,0.24,USD
975,BRX,Brixmor Property Group Inc,2022-05-02,2022-03-31,0.2,USD
979,BSBK,Bogota Financial Corp,2022-05-02,2022-03-31,0.08,USD
980,BSET,Bassett Furniture Industries Inc,2022-03-30,2022-02-28,0.36,USD
985,BSRR,Sierra Bancorp,2022-04-18,2022-03-31,0.6,USD
987,BSVN,Bank7 Corp,2022-04-27,2022-03-31,0.68,USD
988,BSX,Boston Scientific Corp,2022-04-26,2022-03-31,0.39,USD
989,BSY,Bentley Systems Inc - Class B,2022-03-01,2021-12-31,0.17,USD
995,BTG,B2gold Corp,2022-05-02,2022-03-31,0.06,USD
1003,BTU,Peabody Energy Corp New,2022-04-27,2022-03-31,1.93,USD
1006,BURL,Burlington Stores Inc,2022-03-02,2022-02-28,3.27,USD
